Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,sin información,07/13/2018 09:00:00 PM,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Cars 3,Community Based Event,Mobile Unit,Movies,General Public,225.0
Recreation,sin información,07/12/2018 09:00:00 PM,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Beauty and Beast,Community Based Event,Mobile Unit,Movies,General Public,225.0
Recreation,sin información,07/11/2018 09:00:00 PM,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: La La Land,Community Based Event,Mobile Unit,Movies,General Public,35.0
Recreation,sin información,07/11/2018 09:00:00 PM,Staten Island,Other,Det. Russel Timoshenko,Movies Under the Stars: Jaws,Community Based Event,Mobile Unit,Movies,General Public,150.0
Recreation,sin información,07/10/2018 09:00:00 PM,Staten Island,Park,Conference House Park,Movies Under the Stars: Pitch Perfect,Community Based Event,Mobile Unit,Movies,General Public,150.0
Recreation,sin información,07/07/2018 09:00:00 PM,Staten Island,Park,Westerleigh Park,Movies Under the Stars: Star Wars: The Clone Wars,Community Based Event,Mobile Unit,Movies,General Public,50.0
Recreation,sin información,07/07/2018 09:00:00 PM,Staten Island,Park,Wolfe's Pond Park,Movies Under the Stars:,Community Based Event,Mobile Unit,Movies,General Public,150.0
Recreation,sin información,07/06/2018 09:00:00 PM,Staten Island,Park,Father Macris Park,Movies Under the Stars: Rise of the Planet of the Apes,Community Based Event,Mobile Unit,Movies,General Public,75.0
Recreation,sin información,07/05/2018 12:00:00 AM,Staten Island,Park,Seaside Wildlife Nature Park,Movies Under the Stars: Jumanji,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,sin información,07/14/2018 08:30:00 PM,Bronx,Playground,Watson Gleason Playground,Movies Under The Stars: The Lego Movie,Community Based Event,Mobile Unit,Movies,General Public,54.0
Recreation,sin información,07/16/2018 08:00:00 PM,Brooklyn,Playground,Thomas Greene Playground,Movies Under the Stars : Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,250.0
Recreation,sin información,07/14/2018 08:00:00 PM,Brooklyn,Park,Cooper Park,Movies Under the Stars : Star Trek,Community Based Event,Mobile Unit,Movies,General Public,225.0
Recreation,sin información,07/13/2018 08:00:00 PM,Brooklyn,Playground,John Hancock Playground,Movies Under The Stars : Men In Black 3,Community Based Event,Mobile Unit,Movies,General Public,125.0
Recreation,sin información,07/15/2018 08:30:00 PM,Queens,Other,Beach 94th Street,"MUTS ""Kubo and the Two Strings""",Community Based Event,Mobile Unit,sin información,General Public,82.0
Recreation,sin información,07/14/2018 08:30:00 PM,Queens,Other,Beach 94th Street,"MUTS ""Big Fish""",Community Based Event,Mobile Unit,sin información,General Public,189.0
Recreation,sin información,07/14/2018 10:30:00 AM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Learn To Play Basket Ball,Community Based Event,Sport,Tier 1,Tot;#Children;#General Public,11.0
Recreation,Council Member Gibson,07/13/2018 08:30:00 PM,Bronx,Park,Macombs Dam Park,Movies Under The Stars: Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,137.0
Recreation,sin información,07/13/2018 09:00:00 PM,Queens,Park,Crocheron Park,"MUTS ""Star Wars: The Last Jedi""",Community Based Event,Mobile Unit,Movies,General Public,214.0
Recreation,sin información,07/12/2018 08:30:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,283.0
Recreation,sin información,07/11/2018 08:30:00 PM,Bronx,Playground,Cedar Playground,Movies Under The Stars: Daddy's Home 2,Community Based Event,Mobile Unit,Movies,General Public,31.0
Recreation,Councilman Cohen,07/11/2018 08:30:00 PM,Bronx,Park,Seton Park,Movies Under The Stars: Star Wars The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,25.0
Recreation,sin información,07/12/2018 08:00:00 PM,Brooklyn,Playground,Brevoort Playground,Movies Under the Stars: The Lion King,Community Based Event,Mobile Unit,Movies,General Public,110.0
Recreation,sin información,07/12/2018 09:00:00 PM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,"Movies Under The Stars ""Despicable Me 3""",Community Based Event,Mobile Unit,Movies,General Public,153.0
Recreation,sin información,07/12/2018 11:00:00 AM,Bronx,Recreation Center,West Bronx Recreation Center,West Bronx Recreation center,Community Based Event,Mobile Unit,Play,Children;#General Public,36.0
Recreation,sin información,07/11/2018 11:00:00 AM,Bronx,Park,Patterson Houses,sin información,Community Based Event,Mobile Unit,Play,Children,2.0
Recreation,sin información,07/10/2018 12:00:00 PM,Bronx,Other,Francis Martin Library,Summer reading in the park,Community Based Event,Mobile Unit,Play,Children,5.0
Recreation,sin información,07/06/2018 10:00:00 AM,Bronx,Park,Van Nest Park,Van nest Playground,Community Based Event,Mobile Unit,Play,Children;#Teens;#General Public,45.0
Recreation,sin información,07/05/2018 11:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,sin información,Community Based Event,Mobile Unit,Play,General Public;#Children,0.0
Recreation,sin información,07/05/2018 11:00:00 AM,Bronx,Other,St Andrews Summer camp,Summer Blast,Community Based Event,Mobile Unit,Music,Children,40.0
Recreation,sin información,07/03/2018 11:00:00 AM,Bronx,Other,P.S. 89,Field Day,Community Based Event,Mobile Unit,Play,Children,53.0
Recreation,Ocean Breeze Athletic Complex,07/11/2018 07:00:00 PM,Staten Island,Other,Franklin D. Roosevelt Boardwalk and Beach,Twilight Run,Community Based Event,Fitness,Tier 2,General Public,54.0
Recreation,sin información,07/11/2018 08:00:00 PM,Brooklyn,Park,Msgr. McGolrick Park,Movies Under the Stars : Sing!!,Community Based Event,Mobile Unit,Movies,General Public,175.0
Recreation,sin información,07/10/2018 08:00:00 PM,Brooklyn,Playground,Heckscher Playground,Movies Under the Stars : Smurfs  The Lost Village,Community Based Event,Mobile Unit,Movies,General Public,65.0
Recreation,sin información,07/11/2018 08:30:00 PM,Queens,Playground,Addabbo Playground,"Movies Under The Stars ""Zootopia""",Community Based Event,Mobile Unit,Movies,General Public,94.0
Recreation,sin información,07/10/2018 08:30:00 PM,Bronx,Recreation Center,West Bronx Recreation Center,Movies Under The Stars: Paddington,Community Based Event,Mobile Unit,Movies,General Public,21.0
Recreation,sin información,07/07/2018 08:30:00 PM,Queens,Park,Springfield Park,"Movies Under The Stars ""  Moana """,Community Based Event,Mobile Unit,Movies,General Public,219.0
Recreation,sin información,07/07/2018 08:30:00 PM,Queens,Playground,Broad Channel,Movies Under The Stars ( Jumanji 2017 ),Community Based Event,Mobile Unit,Movies,General Public,101.0
Recreation,sin información,07/05/2018 08:30:00 PM,Queens,Park,Roy Wilkins,Movies Under The Stars ( Jumanji 2017),Community Based Event,Mobile Unit,Movies,General Public,123.0
Recreation,sin información,07/03/2018 08:30:00 PM,Queens,Park,Juniper Valley Park,Movies Under The Stars,Community Based Event,Mobile Unit,Movies,General Public,248.0
Recreation,sin información,07/07/2018 08:30:00 PM,Bronx,Park,St. James Park,Movies Under The Stars: Wonder,Community Based Event,Mobile Unit,Movies,General Public,194.0
Recreation,sin información,07/09/2018 12:00:00 AM,Brooklyn,Park,Kaiser Park,Movies Under the Stars : Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,120.0
Recreation,sin información,07/08/2018 08:00:00 PM,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Jumanji (2017),Community Based Event,Mobile Unit,Movies,General Public,550.0
Recreation,sin información,07/07/2018 09:00:00 PM,Brooklyn,Park,Sunset Park,Movies Under the Stars : Pacific Rim,Community Based Event,Mobile Unit,Movies,General Public,500.0
Recreation,sin información,07/06/2018 08:00:00 PM,Brooklyn,Park,Herbert Von King Park,Movies Under the Stars : Marshall,Community Based Event,Mobile Unit,Movies,General Public,180.0
Recreation,sin información,07/05/2018 08:00:00 PM,Brooklyn,Park,John Paul Jones Park,Movies Under the Stars : Rocky,Community Based Event,Mobile Unit,Movies,General Public,150.0
Recreation,sin información,07/02/2018 08:00:00 PM,Brooklyn,Park,Cadman Plaza Park,Movies Under the Stars : Dunkirk,Community Based Event,Mobile Unit,Movies,General Public,90.0
Recreation,sin información,06/30/2018 08:00:00 PM,Brooklyn,Playground,Parkside Playground,Movies Under the Stars : Black Panther,Community Based Event,Mobile Unit,Movies,General Public,600.0
Recreation,sin información,06/30/2018 08:00:00 PM,Brooklyn,Park,Scarangella Park,Movies Under the Stars : Black Panther,Community Based Event,Mobile Unit,Movies,General Public,500.0
Recreation,sin información,06/29/2018 08:00:00 PM,Brooklyn,Park,McKinley Park,Movies Under the Stars : E.T.,Community Based Event,Mobile Unit,Movies,General Public,400.0
Recreation,sin información,06/29/2018 12:00:00 AM,Brooklyn,Park,McCarren Park,Movies Under the Stars : Smiles on a Summer Night,Community Based Event,Mobile Unit,Movies,General Public,200.0
Recreation,sin información,06/28/2018 08:00:00 PM,Brooklyn,Park,Pena Herrera Park,Movies Under the Stars : Power Rangers,Community Based Event,Mobile Unit,Movies,General Public,36.0
Recreation,sin información,06/24/2018 08:00:00 PM,Brooklyn,Park,Bensonhurst Park,Movies Under the Stars : Karate Kid,Community Based Event,Mobile Unit,Movies,General Public,200.0
Recreation,sin información,06/24/2018 08:00:00 PM,Brooklyn,Playground,Sheepshead Playground,Movies Under the Stars : Jumanji (2017)),Community Based Event,Mobile Unit,Movies,General Public,50.0
Recreation,sin información,06/23/2018 08:00:00 PM,Brooklyn,Park,Dyker Beach Park,Movies Under the Stars : Nut Job 2,Community Based Event,Mobile Unit,Movies,General Public,150.0
Recreation,sin información,06/22/2018 09:00:00 PM,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,300.0
Recreation,sin información,06/22/2018 09:00:00 PM,Brooklyn,Park,Fort Greene Park,Movies Under the Stars : Art of the Score,Community Based Event,Mobile Unit,Movies,General Public,700.0
Recreation,sin información,06/17/2018 09:00:00 PM,Brooklyn,Playground,Bill Brown Playground,Movies Under the Stars : Willy Wonka,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,sin información,06/16/2018 08:00:00 PM,Brooklyn,Park,Red Hook Park,Movies Under the Stars : Black Panther,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,sin información,06/16/2018 08:00:00 PM,Brooklyn,Park,Amersfort Park,Movies Under the Stars : Jumanji (2017)),Community Based Event,Mobile Unit,Music,General Public,300.0
Recreation,CM Menchaca,06/15/2018 08:00:00 PM,Brooklyn,Park,Sunset Park,Movies Under the Stars : Guardians of the Galaxy 2,Community Based Event,Mobile Unit,Movies,General Public,650.0
Recreation,sin información,06/15/2018 08:00:00 PM,Brooklyn,Other,McCarren Pool Deck,Movies Under the Stars : Pariah,Community Based Event,Mobile Unit,Movies,General Public,45.0
Recreation,sin información,06/09/2018 08:00:00 PM,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Ferris Bueller's Day Off,Community Based Event,Mobile Unit,Movies,General Public,240.0
Recreation,sin información,06/08/2018 08:00:00 PM,Brooklyn,Other,McCarren Pool Deck,Movies Under the Stars : Saturday Church,Community Based Event,Mobile Unit,Movies,General Public,55.0
Recreation,sin información,06/08/2018 08:00:00 PM,Brooklyn,Park,Fort Greene Park,Movies Under the Stars : Bruce!!,Community Based Event,Mobile Unit,Movies,General Public,120.0
Recreation,sin información,06/11/2018 11:00:00 AM,Bronx,Park,Poe Park,Youth Arts Festival,Community Based Event,Mobile Unit,Play,Children;#General Public,150.0
Recreation,sin información,06/06/2018 08:00:00 PM,Brooklyn,Playground,Crispus Attucks Playground,Movies Under the Stars : Web Series Wednesdays,Community Based Event,Mobile Unit,Movies,General Public,75.0
Recreation,sin información,06/03/2018 08:00:00 PM,Brooklyn,Park,Manhattan Beach Parking Lot,Drive In Movie,Community Based Event,Mobile Unit,Movies,General Public,195.0
Recreation,ABOFF,06/03/2018 08:00:00 PM,Brooklyn,Park,Sunset Park,Movies Under the Stars : ABOFF Short Films,Community Based Event,Mobile Unit,Movies,General Public,60.0
Recreation,sin información,06/01/2018 08:00:00 PM,Brooklyn,Other,McCarren Pool Deck,Movies Under the Stars : Stonewall,Community Based Event,Mobile Unit,Movies,General Public,65.0
Recreation,sin información,06/01/2018 08:00:00 PM,Brooklyn,Park,Leif Ericson Park,Movies Under the Stars : Lego Ninjago Movie,Community Based Event,Mobile Unit,Movies,General Public,250.0
Recreation,sin información,05/26/2018 08:00:00 PM,Brooklyn,Playground,P.S. 249,Movies Under the Stars : Jumanji (2017)),Community Based Event,Mobile Unit,Movies,General Public,270.0
Recreation,sin información,05/25/2018 08:00:00 PM,Manhattan,Park,Randall's Island Park,Movies Under the Stars : Moana,Community Based Event,Mobile Unit,Movies,General Public,1000.0
Recreation,sin información,05/25/2018 08:00:00 PM,Brooklyn,Park,Bensonhurst Park,Movies Under the Stars : Jumanji (2017),Community Based Event,Mobile Unit,Movies,General Public,200.0
Recreation,sin información,05/25/2018 08:00:00 PM,Brooklyn,Park,Prospect Park,Movies Under the Stars : Festival Friday The Seventh Seal,Community Based Event,Mobile Unit,Movies,General Public,250.0
Recreation,sin información,05/20/2018 08:00:00 PM,Brooklyn,Park,Coffey Park,Movies Under the Stars : Jumanji (2017),Community Based Event,Mobile Unit,Movies,General Public,175.0
Recreation,sin información,05/20/2018 08:00:00 PM,Brooklyn,Park,Fort Greene Park,Movies Under the Stars : Sparkle,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,sin información,05/11/2018 08:00:00 PM,Brooklyn,Park,McCarren Park,"Movies Under the Stars ""Lady Bird""",Community Based Event,Mobile Unit,Movies,General Public,350.0
Recreation,sin información,05/11/2018 08:00:00 PM,Brooklyn,Park,Owl's Head Park,"Movies Under the Stars ""AOBFF"" Short Independent Films",Community Based Event,Mobile Unit,Movies,General Public,185.0
Recreation,sin información,05/05/2018 08:00:00 PM,Brooklyn,Park,Maria Hernandez Park,"Movies Under the Stars "" Coco""",Community Based Event,Mobile Unit,Movies,General Public,350.0
Recreation,sin información,05/04/2018 08:00:00 PM,Brooklyn,Park,Sunset Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,220.0
Recreation,sin información,07/10/2018 08:00:00 PM,Manhattan,Playground,Asser Levy Playground,Movies Under the Stars: Hotel Transylvania 2,Community Based Event,Mobile Unit,Movies,General Public,251.0
Recreation,sin información,07/11/2018 11:00:00 AM,Manhattan,Playground,Alfred E. Smith Playground,Puppet Mobile,Community Based Event,Performance,Movies,General Public,95.0
Recreation,sin información,07/10/2018 06:00:00 PM,Manhattan,Park,Washington Square Park,Strictly Tango,Community Based Event,Performance,Dance,General Public,275.0
Recreation,sin información,07/06/2018 08:00:00 PM,Manhattan,Park,Harlem Art Park,Movies Under the Stars: Southside with You,Community Based Event,Mobile Unit,Movies,General Public,76.0
Recreation,sin información,07/07/2018 08:00:00 PM,Manhattan,Park,Thompkin Square Park,Movies Under the Stars: Hotel Transylvania 1,Community Based Event,Mobile Unit,Movies,General Public,475.0
Recreation,sin información,07/06/2018 08:30:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,60.0
Recreation,Council Member Gibson,07/06/2018 08:30:00 PM,Bronx,Park,Claremont Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,31.0
Recreation,sin información,07/05/2018 08:30:00 PM,Bronx,Park,Bronx Park,Movies Under The Stars: Star Wars The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,45.0
Recreation,Councilwoman Rivera,07/05/2018 08:00:00 PM,Manhattan,Park,Bellevue South Park,Movies Under the Stars: Bedtime Stories,Community Based Event,Mobile Unit,Movies,General Public,72.0
Recreation,sin información,07/03/2018 08:00:00 PM,Manhattan,Park,White Park,Movies Under the Stars: The House,Community Based Event,Mobile Unit,Movies,General Public,45.0
Recreation,sin información,07/05/2018 08:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,"Movies Under the Starts Throwback Series ""Splash""",Community Based Event,Mobile Unit,Movies,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,92.0
Recreation,sin información,06/30/2018 09:00:00 PM,Staten Island,Park,Schmul Park,Movies Under the Stars: A League Of their Own,Community Based Event,Mobile Unit,Movies,General Public,25.0
Recreation,sin información,06/30/2018 09:00:00 PM,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: Jumanji Welcome to the Jungle,Community Based Event,Mobile Unit,Movies,General Public,80.0
Recreation,sin información,06/29/2018 09:00:00 PM,Staten Island,Park,Willowbrook Park,Movies Under the Stars: Spiderman Homecoming,Community Based Event,Mobile Unit,Movies,General Public,230.0
Recreation,sin información,06/28/2018 09:00:00 PM,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Chicago,Community Based Event,Mobile Unit,Movies,General Public,10.0
Recreation,sin información,07/02/2018 08:30:00 PM,Bronx,Playground,Bathgate Playground,Movies Under The Stars: Gnomeo and Juliet,Community Based Event,Mobile Unit,Movies,General Public,30.0
Recreation,Jazz Foundation of America,06/30/2018 06:00:00 PM,Manhattan,Park,Marcus Garvey Park,Jazz Foundation Concert: Phil Young,Community Based Event,Performance,Music,General Public,300.0
Recreation,sin información,06/29/2018 08:00:00 PM,Manhattan,Park,Fort Tryon Park,Movies Under the Stars: Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,375.0
Recreation,Council Member Diana Ayala,06/29/2018 11:00:00 AM,Manhattan,Playground,East River Playground,Tie Dye Festival,Community Based Event,Family Festival,Play,General Public,275.0
Recreation,MOCA Cinema,06/29/2018 05:00:00 PM,Manhattan,Park,Columbus Park,Moca Cinema: The Last Dragon,Community Based Event,Mobile Unit,Movies,General Public,250.0
Recreation,Council Member Kallos & Jazz Foundation of America,06/29/2018 05:00:00 PM,Manhattan,Park,Andrew Haswell Green Park,Jazz Foundation Concert,Community Based Event,Performance,AC&F,General Public,75.0
Recreation,sin información,06/28/2018 08:00:00 PM,Manhattan,Park,Chelsea Park,Movies Under the Stars: Captain Underpants: The First Epic Movie,Community Based Event,Mobile Unit,Movies,General Public,50.0
Recreation,sin información,06/28/2018 08:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Puppet Mobile,Community Based Event,Mobile Unit,Play,Children;#Tot;#Adaptive,188.0
Recreation,sin información,06/27/2018 06:00:00 PM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Art Inspired by Faith Ringgold,Community Based Event,Arts/Culture,Play,General Public,30.0
Recreation,Councilman Cabera,06/30/2018 08:30:00 PM,Bronx,Park,St. James Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,100.0
Recreation,sin información,06/30/2018 08:30:00 PM,Bronx,Park,Macombs Dam Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,203.0
Recreation,sin información,06/30/2018 11:00:00 AM,Bronx,Recreation Center,Hunts Point Recreation Center,Summer Fest,Community Based Event,Mobile Unit,Play,Children;#General Public,56.0
Recreation,sin información,06/29/2018 05:00:00 PM,Bronx,Playground,Patterson Playground,Peach March,Community Based Event,Mobile Unit,Play,Children;#General Public,33.0
Recreation,sin información,06/29/2018 08:30:00 PM,Queens,Playground,Paul Raimonda Playground,"MUTS  "" Wonder """,Community Based Event,Mobile Unit,Play,General Public,248.0
Recreation,Bronx River Alliance,06/29/2018 08:30:00 PM,Bronx,Park,Concrete Plant Park,Movies Under The Stars: Spiderman Homecoming,Community Based Event,Mobile Unit,Movies,General Public,150.0
Recreation,Council Member Gibson,06/29/2018 08:30:00 PM,Bronx,Park,Mullaly Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,206.0
Recreation,sin información,06/28/2018 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars - Pride Series: Saturday Church,Community Based Event,Performance,Movies,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,29.0
Recreation,sin información,06/21/2018 08:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars- Pride Series: God's Own Country,Community Based Event,Performance,Movies,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,89.0
Recreation,sin información,06/28/2018 08:30:00 PM,Bronx,Park,Frank Frisch Field,Movies Under The Stars: Paddington 2,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,Councilman Cohen,06/27/2018 08:30:00 PM,Bronx,Park,Seton Park,Movies Under The Stars: Jumanji Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,0.0
Recreation,sin información,06/26/2018 06:00:00 PM,Manhattan,Playground,Moore Playground,Movies Under the Stars: Fences,Community Based Event,Mobile Unit,Movies,General Public,65.0
Recreation,sin información,06/27/2018 06:00:00 PM,Manhattan,Park,J. Hood Wright Park,Movies Under the Stars: The Greatest Showman,Community Based Event,Mobile Unit,Movies,General Public,115.0
Recreation,Councilman Perkins,06/27/2018 06:00:00 PM,Manhattan,Park,St. Nicholas Park,Movies Under the Stars: Marshall,Community Based Event,Mobile Unit,Movies,General Public,42.0
Recreation,sin información,06/26/2018 08:30:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Moana,Community Based Event,Mobile Unit,Movies,General Public,220.0
Recreation,sin información,06/16/2018 09:00:00 PM,Staten Island,Park,Von Briesen Park,Movies Under the Stars: Cat and the Hat,Community Based Event,Mobile Unit,Movies,General Public,65.0
Recreation,sin información,06/16/2018 09:00:00 PM,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,135.0
Recreation,Councilman Cabrera,06/25/2018 08:30:00 PM,Bronx,Park,St. James Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,132.0
Recreation,Council Member Kallos,06/22/2018 05:00:00 PM,Manhattan,Playground,Stanley Isaacs Playground,Skate Night,Community Based Event,Sport,Fitness,General Public,227.0
Recreation,MOCA,06/22/2018 06:00:00 PM,Manhattan,Park,Columbus Park,Movies Under the Stars: Pushing Hands,Community Based Event,Mobile Unit,Movies,General Public,77.0
Recreation,sin información,06/21/2018 06:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars: God's Own Country,Community Based Event,Mobile Unit,Movies,General Public,89.0
Recreation,sin información,06/21/2018 06:00:00 PM,Manhattan,Playground,Vesuvio Playground,Movies Under the Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,52.0
Recreation,sin información,06/23/2018 08:30:00 PM,Bronx,Park,Crotona Park,Movies Under The Stars: Moana,Community Based Event,Mobile Unit,Movies,General Public,42.0
Recreation,sin información,06/20/2018 08:30:00 PM,Bronx,Playground,Story Playground,Movies Under The Stars: The Lego Ninjago Movie,Community Based Event,Mobile Unit,Movies,General Public,35.0
Recreation,sin información,06/02/2018 08:30:00 PM,Bronx,Park,Virginia Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,75.0
Recreation,sin información,06/22/2018 08:30:00 PM,Bronx,Recreation Center,Owen Dolen Recreation Center,Movies Under The Stars: Lego Batman Movie,Community Based Event,Mobile Unit,Movies,General Public,43.0
Recreation,Councilman Cohen,06/22/2018 08:30:00 PM,Bronx,Park,St. James Park,Movies Under The Stars: Thor Ragnarok,Community Based Event,Mobile Unit,Movies,General Public,39.0
Recreation,sin información,06/21/2018 08:30:00 PM,Bronx,Park,Poe Park,Movies Under The Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,80.0
Recreation,sin información,06/22/2018 08:00:00 PM,Queens,Park,John Golden,"MUTS "" Back To The Future """,Community Based Event,Mobile Unit,Movies,General Public,250.0
Recreation,sin información,06/22/2018 08:30:00 PM,Queens,Other,Rory Staunton Field,"MUTS "" Paddington """,Community Based Event,Mobile Unit,Movies,General Public,119.0
Recreation,sin información,06/22/2018 08:30:00 PM,Queens,Park,"Phil ""Scooter"" Rizzuto Park",MUTS - Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,89.0
Recreation,sin información,06/21/2018 08:30:00 PM,Bronx,Park,Harris Park,Movies Under The Stars: Wonder,Community Based Event,Mobile Unit,Movies,General Public,65.0
Recreation,sin información,06/16/2018 08:00:00 PM,Queens,Park,Edward Byrne,"MUTS "" Ferdinand """,Community Based Event,Mobile Unit,Movies,General Public,114.0
Recreation,sin información,06/10/2018 08:00:00 PM,Queens,Playground,Ehrenreich/Austin Playground,MUTS,Community Based Event,Mobile Unit,Movies,General Public,148.0
Recreation,sin información,06/19/2018 12:00:00 PM,Bronx,Park,Van Courtlandt Park S,Play at VC,Community Based Event,Mobile Unit,Play,Children;#General Public,60.0
Recreation,Councilman Cohen,06/20/2018 08:30:00 PM,Bronx,Park,Seton Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,60.0
Recreation,Arenn @Fizz Corp,06/15/2018 08:00:00 AM,Manhattan,Recreation Center,Recreation Center 54,3 VS 3 Intergenerational Father's Basketball tournament,Tournament/Competition,Sport,Tier 1,Young Adult;#Adults;#Seniors,16.0
Recreation,sin información,06/19/2018 08:00:00 PM,Manhattan,Playground,Wright Brothers Playground,Movies under the stars: Logan,Community Based Event,Mobile Unit,Movies,General Public,60.0
Recreation,Drey Spivey - Department of Corrections,06/16/2018 09:30:00 AM,Manhattan,Recreation Center,Recreation Center 54,Pre-Father's Day Family Clinic and Corrections Dad's Game,Tournament/Competition,Sport,Tier 1,Children;#General Public,42.0
Recreation,Central Recreation Art Instructor- Soomi,06/20/2018 03:30:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Children's Art Exploration Exhibition,Local Event,Arts/Culture,sin información,Children;#General Public,20.0
Recreation,Councilman Cohen,06/19/2018 08:30:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,126.0
Recreation,sin información,06/15/2018 08:30:00 PM,Staten Island,Other,Midland Field,Movies Under the Stars: Transformers: The Last Knight,Community Based Event,Mobile Unit,Movies,General Public,50.0
Recreation,sin información,06/15/2018 08:30:00 PM,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: The Black Panther,Community Based Event,Mobile Unit,Movies,General Public,125.0
Recreation,Councilman Cabrera,06/18/2018 08:30:00 PM,Bronx,Park,St. James Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,136.0
Recreation,Council Member Rory Lancman,06/17/2018 01:00:00 PM,Queens,Playground,Mauro,Family Day at Mauro Playground,Community Based Event,Family Festival,Play,General Public,387.0
Recreation,sin información,06/14/2018 08:00:00 PM,Manhattan,Park,Marcus Garvey Park,Movies Under the Stars: The Shape of Water,Community Based Event,Mobile Unit,Movies,General Public,220.0
Recreation,sin información,06/16/2018 08:00:00 PM,Manhattan,Playground,Little Flower Playground,Movies Under the Stars: The Greatest Showman,Community Based Event,Mobile Unit,Movies,General Public,275.0
Recreation,"Harlem Renaissance Orchestra, Harlem Swing Dance Society",06/16/2018 05:00:00 PM,Manhattan,Park,Marcus Garvey Park,Tonight We dance: Jazz & Swing,Community Based Event,Performance,Dance,General Public,445.0
Recreation,MOCA,06/15/2018 08:00:00 PM,Manhattan,Park,Columbus Park,Movies Under the Stars: MOCA: The Lego Ninjago Movie,Community Based Event,Mobile Unit,Movies,General Public,227.0
Recreation,Councilman Torres,06/16/2018 08:30:00 PM,Bronx,Playground,Parkside Playground,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,26.0
